内容,作者,发布时间,转发数,评论数,点赞数,页码
"中国传媒大学超话 中传播音｜有趣和有意义怎么不可兼得？
这是中传广西推普小分队的第一天，下乡调研：
从早上7点到傍晚7:30的工作量，竟然没人觉得累。
玩中工作或许就是当代年轻人的持续待机秘诀#中国传媒大学##推普助力乡村振兴##出圈吧大学生#VLOG超话#微博vlog大赛##日常vlog[超话] ​ 展开c",张珑璟,2023年08月24日 19:36 ,1,7,0,32
"这一杯，让我敬这位兄弟！🍷
功德无量

中国传媒大学考研超话#中国传媒大学#中传考研超话#中传##cuc考研#CUC中传考研超话#24考研# ​",空了个格中传考研,2023年08月24日 17:20 ,3,16,0,32
从大学英语四级差一分通过到成为联合国生物多样性大会CO P15的专用双语主持人，最近也为蒙古烟草大王和他家人做了两天翻译，我知道我发音不是最好的，但是主持人需要具备的能力有写稿能力，临场应变能里，文学素养，交际能力，甚至一定的颜值气质还有情商等等，对了，还有自信和勇气，你要相信自己一定 ​ 展开c,郭铜君Bonnie,2023年08月21日 15:41 ,13,5,0,33
"当当当！国潮原创音乐剧《唐朝诡事录之曼陀罗》大美定妆照来啦！你喜欢的是哪位卡司？8月18号~20号来天桥艺术中心看现场吧，解锁更多明星演员~
#北京电影学院##中戏##中国传媒大学##中央民族大学# ​",猫咪文艺范儿,2023年08月11日 10:36 ,35,358,0,33
"2023校友会中国大学排名 26 强
校友会排名是中国校友会网每年根据其排名指标发布的大学排名榜单，主要评价指标包括办学层次、思政教育、教学质量、杰出校友、高层次人才、学科专业、科研项目、科研基地、科研成果、社会服务、社会声誉和国际影响力等，排名仅供参考。#中国的大学教育##大学教育# ​ 展开c",新特光电鸿镭激光陈博,2023年08月10日 04:28 ,0,2,0,33
"哈瓦那大学校长米里亚姆·尼卡多·加西亚于访华第一天同#中国传媒大学# 签署了协议，以促进双方在新闻学、传播学、戏剧、影视剧、语言文学及管理等专业的教学和研究合作，以及师生交流，并参与互惠互利的研究项目。
在古巴大使馆临时代办马里奥·阿尔苏加雷的陪同下，校长受到了中国传媒大学校长张树庭的 ​ 展开c",古巴驻华大使馆,2023年08月01日 11:18 ,1,11,0,33
"人生不过三万天，
有多少朋友可以陪你走过十年？
我从未想过，
踏入@中国传媒大学 校门的那一天，
命运的齿轮就开始转动
有幸与大家分享
我与大学最好的几位朋友的十年故事
欢迎在评论区留下你关于友谊印象深刻的回忆
如果喜欢的话，欢迎转发与关注
中国传媒大学超话#中国传媒大学# ​ 展开c",_yEEEs_,2023年07月30日 15:30 ,1,19,0,34
#中国传媒大学# 结束喽#大帅哥# 2北京·中国传媒大学 ​,Mintchocy,2023年07月29日 00:48 ,13,8,0,34
#中国传媒大学#  #185大帅哥# 2北京·中国传媒大学 ​,Mintchocy,2023年07月27日 22:42 ,8,11,0,34
"容卿工作室2023部分成绩汇总
学生：韩昊阳；瓦扎拉薇@拉薇Vivian ；梁煜曦@文驀君 ；王禹婷@LIL__TING ；程一宸；谢瑞莹；李泽涵；文源岐；张镌凌；钱书瑶；李嘉欣；黄唯伊…等
#艺考##中国传媒大学##中戏##上海戏剧学院##浙江传媒学院##播音# 2北京 L容卿工作室的微博视频 ​",容卿工作室,2023年07月26日 22:13 ,2,8,0,34
"汉印超话#汉印和他的学霸朋友#
就读于名校的“歪果”同学的眼中，中国是个怎样的国家呢？
中传真的如传说中一样对身高长相的要求很严格吗？
今天的学霸朋友就来为大家揭秘这些“不解之谜”！
#清华大学##北京外国语大学##中国传媒大学##学霸# L汉印官方微博的微博视频 ​",汉印官方微博,2023年07月26日 16:44 ,11,15,0,34
"汉印超话#汉印和他的学霸朋友#
作为人生的第一任老师，很多孩子最早接受的教育就来自于父母的言传身教在这点上学霸们当然也不例外啦~

今天来看看学霸的父母对学霸本人都有什么样的影响
#清华大学##中国传媒大学##北京外国语大学# L汉印官方微博的微博视频 ​",汉印官方微博,2023年07月25日 15:37 ,11,15,0,34
在匆匆忙忙的夏日里结束了自己在这里的七年👋庆幸自己都记录下来了真好#中国传媒大学##中国传媒大学2023毕业典礼##中传##毕业# L一只小忙果呀的微博视频 ​,一只果果卷,2023年07月24日 14:37 ,12,17,0,35
中国传媒大学超话#中国传媒大学##录取通知书##晒录取通知书# 终于轮到我啦✌ ​,LO吕珪VE,2023年07月24日 13:45 ,21,39,0,35
"显眼包现以大轴登场
终于等到传了！！
火速通知方圆十里的生物
状元卷真的好好看
#中国传媒大学# #晒录取通知书# ​",生活探险家LE,2023年07月23日 17:41 ,1,8,0,35
"山河日月做贺礼，往来又是读书人。💫

向前走，莫回头！！！
#考研##录取通知书##中国传媒大学# 2北京 ​",非土豆不可,2023年07月23日 13:49 ,3,25,0,35
"啊！楼梯好滑
我爱西柚西
#录取通知书##中国传媒大学# ​",草莓魔法小精灵,2023年07月23日 13:44 ,1,5,0,35
"中国传媒大学超话
中传我来咯😻
#中国传媒大学##艺考生##双语播音# ​",Avianna_g,2023年07月20日 23:10 ,0,7,0,36
"汉印超话#汉印和他的学霸朋友#
🚫绝密🚫
清华学霸高考物理满分秘籍公开，晚点删‼

《学霸朋友》系列又双叒叕来咯！康康今天又突击捕获到了哪些高校的学霸朋友呢~
#中国传媒大学##清华大学# L汉印官方微博的微博视频 ​​​",汉印官方微博,2023年07月20日 17:32 ,13,15,0,36
"我是BerBer，Ber出不一样的烟火。
#来给毕业比个耶##毕业快乐##中国传媒大学# 2北京·中国传媒大学 LLiberrrrrrr的微博视频 ​",Liberrrrrrr,2023年07月18日 10:36 ,198,823,0,36
